page_id,line_id,order,crop_path,prediction,reference_draft,confidence,needs_review,num_corrections,reference,human_validated,notes
page_01_canvas_0021,_2d250cac-27e2-4947-b649-b10f0a7f72da,0,outputs\judicial_demo\page_01_canvas_0021\lines\0000__2d250cac-27e2-4947-b649-b10f0a7f72da.png,Aouse,Aouse,0.9834916710853576,True,0,Aouse,true,
page_01_canvas_0021,_ccc3473b-607b-4538-8583-31a40a45554c,2,outputs\judicial_demo\page_01_canvas_0021\lines\0002__ccc3473b-607b-4538-8583-31a40a45554c.png,"presente, phetippeaux et seeltées du grand seau","presente, phetippeaux et scellees du grand seau",0.956983764966329,False,1,"presente, phetippeaux et seellées du grand seau",true,
page_01_canvas_0021,_44ab8492-d1ef-4fb3-96a9-b83321c19743,5,outputs\judicial_demo\page_01_canvas_0021\lines\0005__44ab8492-d1ef-4fb3-96a9-b83321c19743.png,"en picardie, par lesquelles redit seigneur desirant","en picardie, par lesquelles redit seigneur desirant",0.9739843723820705,False,0,"en picardie, par lesquelles ledit Seigneur desirant",true,
page_01_canvas_0021,_38cefa33-2e42-44fc-84b8-bf81243b631a,7,outputs\judicial_demo\page_01_canvas_0021\lines\0007__38cefa33-2e42-44fc-84b8-bf81243b631a.png,donner moyen de se restablur en taditeville et,donner moyen de se retablir en ladite ville et,0.9625873572152593,False,2,donner moyen de se restablir en ladite ville et,true,
page_01_canvas_0021,_bf6de42a-1614-459f-a52b-e43c4abe50f2,9,outputs\judicial_demo\page_01_canvas_0021\lines\0009__bf6de42a-1614-459f-a52b-e43c4abe50f2.png,"mil six cens trente huit, vingt sixiesne mars","mille six cent trente huit, vingt sixieme mars",0.9783107664850023,False,1,"mil six cens trente huit, vingt sixiesme mars",true,
page_01_canvas_0021,_fde1a6c3-0c25-4d51-8660-92ae3c53e6b9,12,outputs\judicial_demo\page_01_canvas_0021\lines\0012__fde1a6c3-0c25-4d51-8660-92ae3c53e6b9.png,chises a eux es danant accordées desquelles un,chises a eux es devant accordées desquelles un,0.939715066488753,False,1,choses a eux cy devant accordees desquelles ils,true,
page_01_canvas_0021,_589241ba-b474-47e9-863c-94cf3c40e5c0,14,outputs\judicial_demo\page_01_canvas_0021\lines\0014__589241ba-b474-47e9-863c-94cf3c40e5c0.png,et ordonne qu'a l'aduenir ils demoureroient quittes,et ordonne qu'a l'aduenir ils demoureroient quittes,0.9832094592206618,False,0,et ordonne qu'a l'advenir ils demeuroient quittés,true,
page_01_canvas_0021,_1b14d192-9622-4408-bcb4-ff8d6a2a7665,17,outputs\judicial_demo\page_01_canvas_0021\lines\0017__1b14d192-9622-4408-bcb4-ff8d6a2a7665.png,chacun tundy du franc marche dant ils jours,chacun tundy du franc marche dant ils jours,0.9751332159652266,False,0,chacun lundy du franc marché dont ils jouis,true,
page_01_canvas_0021,_be497552-0200-4791-8664-fb597f914566,19,outputs\judicial_demo\page_01_canvas_0021\lines\0019__be497552-0200-4791-8664-fb597f914566.png,"annóé mit sx cens trente sux, il auroit continue","annóé mit sx cent trente sux, il auroit continue",0.9382502555847168,False,0,"annee mil six cens trente six, il auroit continué",true,
page_01_canvas_0021,_b08967ec-4901-48be-9548-9b339f5b0d65,21,outputs\judicial_demo\page_01_canvas_0021\lines\0021__b08967ec-4901-48be-9548-9b339f5b0d65.png,sions pour en jouir par eux bunet deuement,sions pour en jouir par eux bunet deuement,0.9778598788238707,False,0,sions pour en jouir par eux deuement,true,
page_01_canvas_0021,_c41cac3c-9a22-4bca-8568-7728e0058a12,24,outputs\judicial_demo\page_01_canvas_0021\lines\0024__c41cac3c-9a22-4bca-8568-7728e0058a12.png,requeste desdits habitans prosentée a la cour,requeste desdits habitans prosentée a la cour,0.9759029655352883,False,0,requeste desdits habitans presentée a la cour,true,
page_01_canvas_0021,_1ed562be-c0d8-4a38-8222-85afaf1ff575,28,outputs\judicial_demo\page_01_canvas_0021\lines\0028__1ed562be-c0d8-4a38-8222-85afaf1ff575.png,neral du Roy et tout considere.,neral du Roi et tout considere.,0.9886695761834422,False,0,neral du Roy et tout consideré,true,
